ANP,Tipo ANP,Región CONANP,Estado,Bioma,Plantas,Abejas,Mariposas,Colibríes,Otras aves,Murciélagos
El Cielo,RB,RNSMO,Tamaulipas,BM,1225,823,600,17,NR,3
El Triunfo,RB,RFSIPS,Chiapas,BM,791,228,536,9,NR,5
Volcán Tacaná,RB,RFSIPS,Chiapas,BM,602,4,237,14,NR,7
Cerro Mohinora,APFF,RNSMOC,Chihuahua,BT,381,NR,NR,6,NR,NR
La Primavera,APFF,ROPC,Jalisco,BT,961,13,88,7,NR,2
Nevado de Toluca,APFF,RCEN,Edo. México,BT,554,NR,3,2,NR,5
Papigochic,APFF,RNSMOC,Chihuahua,BT,120,NR,NR,8,NR,NR
Pico Tancítaro,APFF,ROPC,Michoacán,BT,524,NR,NR,13,NR,5
Tutuaca,APFF,RNSMOC,Chihuahua,BT,202,NR,NR,8,NR,NR
Barranca del Cupatitizio,PN,ROPC,Michoacán,BT,563,NR,71,9,NR,2
Benito Juarez,PN,RFSIPS,Oaxaca,BT,666,NR,NR,14,NR,3
Cascada de Bassaseachic,PN,RNSMOC,Chihuahua,BT,574,NR,NR,5,NR,2
Cofre de Perote,PN,RPCGM,Veracruz,BT,372,NR,NR,11,NR,1
Constitución,PN,RNAGC,Baja California,BT,311,NR,NR,NR,NR,NR
Cumbres de Majalca,PN,RNSMOC,Chihuahua,BT,189,NR,NR,6,NR,1
Desierto de los Leones,PN,RCEN,CDMX,BT,392,NR,4,10,NR,NR
El Chico,PN,RCEN,Hidalgo,BT,530,NR,69,3,NR,NR
El Potosí,PN,RNSMO,San Luis Potosí,BT,283,NR,8,10,NR,NR
El Tepozteco,PN,RCEN,Morelos,BT,66,NR,NR,NR,NR,NR
Lagunas de Zempoala,PN,RCEN,Morelos,BT,346,NR,NR,1,NR,NR
Pico de Orizaba,PN,RCEN,Puebla-Veracruz,BT,294,NR,NR,3,NR,3
Sierra de Organos,PN,RNSMOC,Zacatecas,BT,406,NR,NR,1,NR,NR
Isla Guadalupe,RB,RNAGC,Baja California,BT,226,NR,NR,1,NR,NR
La Michilía,RB,RNSMOC,Durango,BT,770,3,77,11,NR,2
Mariposa Monarca,RB,RCEN,Michoacán-Edo.Méx,BT,423,1,10,5,NR,2
Sierra La Laguna,RB,RNAGC,Baja California Sur,BT,694,8,46,2,NR,1
Cañon del Usumacinta,APFF,RPCGM,Chiapas-Tabasco-Campeche,BTH,422,1,625,5,NR,3
Cascadas de Agua Azul,APFF,RFSIPS,Chiapas,BTH,278,NR,NR,23,NR,4
Chan-kin,APFF,RFSIPS,Chiapas,BTH,789,NR,NR,18,NR,3
Metzabok,APFF,RFSIPS,Chiapas,BTH,779,1,22,8,NR,NR
Nahá,APFF,RFSIPS,Chiapas,BTH,779,NR,NR,10,NR,NR
Otoch Ma'ax Yetel Kooh,APFF,RPYCM,Quintana Roo,BTH,222,NR,NR,4,NR,NR
Bonampak,MN,RFSIPS,Chiapas,BTH,485,NR,NR,10,NR,NR
Yaxchilán,MN,RFSIPS,Chiapas,BTH,547,NR,213,11,NR,2
Calakmul,RB,RPYCM,Campeche,BTH,1600,102,214,9,NR,2
Montes Azules,RB,RFSIPS,Chiapas,BTH,3400,6,543,27,NR,4
El Ocote,RB,RFSIPS,Chiapas,BTH,705,4,89,15,NR,5
Los Tuxtlas,RB,RPCGM,Veracruz,BTH,2697,23,861,15,NR,3
Boquerón de Tonalá,APFF,RFSIPS,Oaxaca,BTS,285,NR,NR,17,NR,8
Sierra de Álamos,APFF,RNAGC,Sonora,BTS,1200,2,300,15,NR,3
La Mancha,,RPCGM,Veracruz,BTS,147,43,123,18,NR,3
Yagul,MN,RFSIPS,Oaxaca,BTS,189,NR,NR,6,NR,1
Dzibilchantún,PN,RPYCM,Yucatán,BTS,94,130,348,7,NR,2
Grutas de Cacahuamilpa,PN,RCEN,Guerrero,BTS,527,17,47,4,NR,5
Isla Isabel,PN,ROPC,Nayarit,BTS,54,NR,NR,1,NR,NR
Santa María Huatulco,PN,RFSIPS,Oaxaca,BTS,413,NR,430,7,NR,9
Chamela,RB,ROPC,Jalisco,BTS,1300,257,583,8,9,5
Islas Marías,RB,ROPC,Nayarit,BTS,387,NR,NR,2,NR,1
La Sepultura,RB,RFSIPS,Chiapas,BTS,407,181,191,24,NR,7
Sian Ka'an,RB,RPYCM,Quintana Roo,BTS,426,80,224,6,NR,1
Sierra de Huautla,RB,RCEN,Morelos,BTS,939,230,53,14,NR,6
Sierra de Manantlan,RB,ROPC,Jalisco,BTS,2900,9,52,3,NR,7
Sierra del Abra Tanchipa,RB,RNSMO,San Luis Potosí,BTS,269,NR,NR,17,NR,6
Sierra Gorda,RB,RCEN,Querétaro,BTS,1724,13,800,6,NR,3
Zicuiran-Infiernillo,RB,ROPC,Michoacán,BTS,539,NR,60,9,NR,5
Cuatrociénegas,APFF,RNSMO,Coahuila,DE,837,98,104,1,NR,2
Médanos de Samalayuca,APFF,RNSMOC,Chihuahua,DE,248,NR,NR,7,NR,1
Ocampo,APFF,RNSMO,Coahuila,DE,107,NR,NR,1,NR,NR
Sierra La Mojonera,APFF,RNSMO,San Luis Potosí-Zacateca,DE,153,NR,NR,NR,NR,3
Chihuahua,,RNSMOC,Chihuahua,DE,1979,68,615,6,NR,3
Río Bravo de Norte,MN,RNSMO,Coahuila-Chihuahua,DE,106,NR,NR,2,NR,2
Isla San Pedro Mártir,PN,RNAGC,Baja California,DE,24,1,NR,NR,NR,NR
El Pinacate,RB,RNAGC,Sonora,DE,560,39,250,5,NR,1
El Vizcaíno,RB,RNAGC,Baja California Sur,DE,463,33,225,3,NR,1
Mapimí,RB,RNSMO,Durango,DE,403,293,220,11,NR,1
Tehuacán-Cuicatlán,RB,RCEN,Puebla-Oaxaca,DE,2686,244,9,17,NR,5
Meseta de Cacaxtla,APFF,RNAGC,Sinaloa,DE,289,NR,NR,NR,NR,NR
Cerro de la Silla,MN,RNSMO,Monterrey,MS,295,NR,NR,2,NR,1
Barranca de Metztitlán,RB,RCEN,Hidalgo,MS,465,15,141,6,NR,3
Valle de los Cirios,APFF,RNAGC,Sonora,MX,773,NR,NR,6,NR,2
Janos,RB,RNSMOC,Chihuahua,PN,250,NR,NR,7,NR,3
Izta,PN,RCEN,Tlaxcala-Puebla,PA,170,3,5,4,NR,NR
Balandra,APFF,RNAGC,Baja California Sur,VAS,152,NR,NR,1,NR,1
Laguna de Términos,APFF,RPYCM,Campeche,VAS,374,NR,13,NR,NR,NR
Laguna Madre y Río Bravo,APFF,RNSMO,Tamaulipas,VAS,434,NR,NR,2,NR,2
Manglares de Nichupté,APFF,RPYCM,Quintana Roo,VAS,225,NR,NR,1,NR,NR
Yum Balam,APFF,RPYCM,Quintana Roo,VAS,400,NR,NR,8,NR,1
Lagunas de Chacahua,PN,RFSIPS,Oaxaca,VAS,175,2,NR,7,NR,7
La Encrucijada,RB,RFSIPS,Chiapas,VAS,270,NR,NR,9,NR,5
Los Petenes,RB,RPYCM,Campeche,VAS,678,NR,NR,1,NR,1
Marismas Nacionales Nayarit,RB,ROPC,Nayarit,VAS,51,NR,NR,6,NR,1
Pantanos de Centla+,RB,RPCGM,Tabasco,VAS,484,2,16,4,NR,5
Ría Celestún,RB,RPYCM,Campeche-Yucatán,VAS,549,1,23,7,NR,NR
Ría Lagartos,RB,RPYCM,Yucatán,VAS,715,46,7,7,NR,1